Assets,Author,
maps/pd_snowville_v1_particles.txt,Exactol,
materials/SAWMILL/GRAVELCOAL001SCROLL,Exactol,
materials/SAWMILL/METALDOOR001SCROLL,Exactol,
materials/effects/animglow02_noz,Chaofanatic,
materials/effects/pd/hud_sawmill_gift_depo,Fubar,
materials/hud/hud_sawmill_gift_blu,Fubar,
materials/hud/hud_sawmill_gift_red,Fubar,
materials/hud/hud_sawmill_land,Fubar,
materials/hud/hud_sawmill_load,Fubar,
materials/skybox/sky_stormfront_02,Fubar,
models/bots/pyro/deer_pyro,Fubar,
models/props_birthday,Tyler,
models/props_forest/rock_waterfall_2,Fubar,
models/props_frozen/snow_shovel,Fr0Z3nR,
models/props_trainyard/sled_cart_base_separate,Fubar,
particles/sawmill_particles,Exactol,Fubar,
resource/UI/HudObjectivePlayerDestruction_sawmill,Fubar,
